misura,data,latitudine,longitudine,altezza,angolo_sole,al_sole,mag_x,mag_y,mag_z
60,2020-04-11 04:31:14,-28.46783333333333,26.933194444444446,431078.21875,0.3600957372535645,True,-29.422548294067386,-5.196898460388184,38.043888092041016
61,2020-04-11 04:31:15,-28.42216666666667,26.98072222222222,431059.0,0.4048164542050759,True,-29.38953971862793,-5.084367275238037,37.80229568481445
62,2020-04-11 04:31:16,-28.3765,27.028194444444445,431039.8125,0.4496964533024661,True,-29.533063888549805,-5.100099086761475,37.9778938293457
63,2020-04-11 04:31:17,-28.330805555555557,27.07563888888889,431020.59375,0.4947352009372062,True,-29.554555892944336,-4.971979141235352,37.74211120605469
64,2020-04-11 04:31:18,-28.285083333333336,27.12302777777778,431001.40625,0.5399273076631542,True,-29.53889465332031,-5.068367958068848,37.927146911621094
65,2020-04-11 04:31:19,-28.239361111111112,27.17038888888889,430982.21875,0.5852722398717813,True,-29.62198257446289,-5.01385498046875,37.87653350830078
66,2020-04-11 04:31:20,-28.19361111111111,27.217694444444444,430963.0,0.6307654085297388,True,-29.63063621520996,-5.117435932159424,37.78141403198242
67,2020-04-11 04:31:21,-28.147833333333335,27.264972222222223,430943.8125,0.676403772068412,True,-29.72858810424805,-5.0131707191467285,37.75756454467773
68,2020-04-11 04:31:22,-28.102055555555555,27.312194444444444,430924.59375,0.7221845557234505,True,-29.695106506347656,-5.004385471343994,37.655521392822266
69,2020-04-11 04:31:23,-28.056250000000002,27.359361111111113,430905.40625,0.7681054649781801,True,-29.71413803100586,-4.912302017211914,37.61948013305664
70,2020-04-11 04:31:24,-28.010416666666668,27.406499999999998,430886.21875,0.8141627645728983,True,-29.692779541015625,-4.744161605834961,37.84668731689453
71,2020-04-11 04:31:26,-27.918694444444444,27.50063888888889,430847.8125,0.906676663024516,True,-29.60287857055664,-4.88071346282959,37.869232177734375
72,2020-04-11 04:31:27,-27.872805555555555,27.54763888888889,430828.625,0.9531260048054224,True,-29.72116279602051,-5.066187381744385,37.91861343383789
73,2020-04-11 04:31:28,-27.826888888888888,27.59461111111111,430809.4375,0.9997024521379144,True,-29.61466979980469,-5.144136905670166,37.92953872680664
74,2020-04-11 04:31:29,-27.78097222222222,27.641527777777778,430790.25,1.0464004554932915,True,-29.55585289001465,-5.324582576751709,37.97810745239258
75,2020-04-11 04:31:30,-27.73502777777778,27.688388888888888,430771.0625,1.093218414045967,True,-29.53347206115723,-5.293927192687988,38.03190231323242
76,2020-04-11 04:31:31,-27.689083333333333,27.735222222222223,430751.875,1.1401523790928272,True,-29.537960052490234,-5.246574878692627,38.08732223510742
77,2020-04-11 04:31:32,-27.643083333333333,27.782,430732.6875,1.1872024573555775,True,-29.438461303710934,-5.272369861602783,38.19237518310547
78,2020-04-11 04:31:33,-27.597083333333334,27.82875,430713.5,1.234364166522575,True,-29.314123153686523,-5.5073089599609375,38.11763381958008
79,2020-04-11 04:31:34,-27.551083333333334,27.875444444444444,430694.3125,1.2816337713341177,True,-29.38412666320801,-5.558126449584961,38.2435417175293
80,2020-04-11 04:31:35,-27.505027777777777,27.92211111111111,430675.125,1.3290112717902054,True,-29.251562118530273,-5.668032169342041,37.98749923706055
81,2020-04-11 04:31:36,-27.458972222222222,27.96872222222222,430655.9375,1.3764928259094298,True,-29.135881423950195,-5.7175235748291025,38.06339645385742
82,2020-04-11 04:31:37,-27.412888888888887,28.015305555555557,430636.78125,1.4240759790925583,True,-29.24372863769531,-5.742743968963622,38.06270980834961
83,2020-04-11 04:31:38,-27.366805555555555,28.061833333333333,430617.59375,1.4717579565752406,True,-29.213703155517575,-5.7248077392578125,37.9488410949707
84,2020-04-11 04:31:39,-27.320694444444445,28.108333333333334,430598.40625,1.5195382247489473,True,-28.73347091674805,-5.609986782073975,37.8503532409668
85,2020-04-11 04:31:41,-27.228416666666664,28.201194444444443,430560.09375,1.6153787988523316,True,-29.562522888183594,-5.562397480010986,37.73866271972656
86,2020-04-11 04:31:42,-27.18225,28.247555555555557,430540.90625,1.6634362232959532,True,-28.95611572265625,-5.395893573760986,37.53717803955078
87,2020-04-11 04:31:43,-27.136083333333332,28.29388888888889,430521.75,1.7115807326514918,True,-29.122486114501953,-5.248038291931152,37.51888656616211
88,2020-04-11 04:31:44,-27.08986111111111,28.340166666666665,430502.59375,1.7598119000321253,True,-29.357166290283203,-5.403942108154297,37.35187911987305
89,2020-04-11 04:31:45,-27.04363888888889,28.386388888888888,430483.4375,1.8081275910037375,True,-30.03898811340332,-5.45426082611084,37.34554672241211
90,2020-04-11 04:31:46,-26.997416666666666,28.432583333333334,430464.25,1.8565254576888015,True,-29.91775703430176,-5.419974327087402,37.43916320800781
91,2020-04-11 04:31:47,-26.951138888888888,28.478749999999998,430445.09375,1.905002298436144,True,-29.221797943115234,-5.456980228424072,37.3156623840332
92,2020-04-11 04:31:48,-26.90486111111111,28.52486111111111,430425.96875,1.9535574729155298,True,-29.886157989501953,-5.407623291015625,37.461822509765625
93,2020-04-11 04:31:49,-26.858583333333335,28.570944444444443,430406.8125,2.002188846692844,True,-29.22464370727539,-5.571057319641113,37.4573974609375
94,2020-04-11 04:31:50,-26.81227777777778,28.616972222222223,430387.65625,2.0508944987773816,True,-30.00784111022949,-5.643916130065918,37.65305709838867
95,2020-04-11 04:31:51,-26.765944444444443,28.66297222222222,430368.5,2.0996725081784398,True,-30.01087188720703,-5.518898963928223,37.5680046081543
96,2020-04-11 04:31:52,-26.719583333333333,28.708916666666667,430349.375,2.148522874896017,True,-29.91526222229004,-5.527610778808594,37.57289505004883
97,2020-04-11 04:31:53,-26.673222222222222,28.754833333333334,430330.25,2.197438982184356,True,-29.82445907592773,-5.517358303070068,37.408992767333984
98,2020-04-11 04:31:54,-26.626833333333334,28.800694444444446,430311.09375,2.246425098911687,True,-29.32772827148437,-5.420209884643555,37.50146484375
99,2020-04-11 04:31:56,-26.53402777777778,28.892333333333333,430272.84375,2.3445917793142845,True,-29.41789436340332,-5.30678129196167,37.43059921264648
